,Label
0,6
1,6
2,6
3,6
4,5
5,5
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,4
21,4
22,4
23,4
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,3
48,3
49,3
50,2
51,3
52,5
53,4
54,4
55,4
56,4
57,8
58,4
59,8
60,4
61,4
62,1
63,4
64,4
65,3
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,9
85,2
86,1
87,9
88,1
89,1
90,2
91,7
92,4
93,4
94,4
95,4
96,1
97,3
98,7
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,2
120,3
121,7
122,3
123,7
124,7
125,2
126,3
127,2
128,2
129,8
130,7
131,1
132,7
133,2
134,2
135,2
136,3
137,4
138,1
139,7
140,1
141,6
142,2
143,1
144,7
145,7
146,3
147,2
148,8
149,2
150,3
151,3
152,3
153,3
154,4
155,4
156,4
157,4
158,3
159,2
160,2
161,7
162,2
163,2
164,4
165,3
166,3
167,8
168,3
169,3
170,6
171,3
172,3
173,3
174,2
175,2
176,7
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,7
191,2
192,3
193,3
194,3
195,7
196,3
197,3
198,3
199,7
200,3
201,3
202,3
203,3
204,2
205,4
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,2
217,7
218,7
219,3
220,3
221,8
222,3
223,3
224,3
225,3
226,3
227,8
228,3
229,3
230,3
231,3
232,7
233,7
234,2
235,7
236,7
237,3
238,3
239,3
240,3
241,9
242,3
243,3
244,3
245,9
246,3
247,3
248,3
249,3
250,7
251,3
252,3
253,3
254,3
255,3
256,8
257,3
258,5
259,3
260,3
261,2
262,4
263,4
264,4
265,8
266,8
267,8
268,8
269,8
270,8
271,8
272,4
273,4
274,4
275,4
276,9
277,2
278,3
279,8
280,8
281,8
282,8
283,8
284,3
285,5
286,1
287,1
288,1
289,2
290,2
291,9
292,6
293,3
294,7
295,7
296,6
297,4
298,1
299,2
300,2
301,4
302,3
303,3
304,9
305,1
306,1
307,2
308,1
309,5
310,8
311,9
312,7
313,4
314,4
315,2
316,2
317,5
318,1
319,1
320,7
321,7
322,7
323,7
324,7
325,2
326,1
327,2
328,1
329,9
330,9
331,1
332,1
333,9
334,2
335,3
336,1
337,1
338,1
339,4
340,4
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,6
350,2
351,2
352,1
353,3
354,3
355,2
356,2
357,2
358,1
359,4
360,9
361,9
362,4
363,7
364,1
365,2
366,1
367,3
368,2
369,1
370,9
371,1
372,7
373,4
374,3
375,8
376,7
377,6
378,6
379,6
380,6
381,2
382,4
383,3
384,3
385,7
386,1
387,1
388,1
389,9
390,3
391,1
392,7
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,5
401,3
402,3
403,6
404,3
405,7
406,2
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,2
424,3
425,3
426,2
427,3
428,3
429,3
430,3
431,3
432,3
433,2
434,8
435,3
436,3
437,3
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,8
446,8
447,8
448,8
449,3
450,3
451,3
452,8
453,3
454,3
455,5
456,9
457,3
458,3
459,8
460,8
461,9
462,3
463,3
464,8
465,3
466,3
467,8
468,8
469,3
470,8
471,3
472,3
473,5
474,7
475,3
476,3
477,6
478,6
479,6
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,4
488,4
489,1
490,2
491,2
492,4
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,7
513,1
514,1
515,1
516,1
517,1
518,1
519,4
520,6
521,8
522,1
523,7
524,7
525,7
526,7
527,7
528,7
529,7
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,3
545,3
546,3
547,0
548,7
549,4
550,2
551,1
552,1
553,1
554,7
555,1
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,0
569,0
570,2
571,2
572,2
573,2
574,1
575,3
576,7
577,7
578,7
579,7
580,7
581,7
582,7
583,7
584,7
585,7
586,7
587,7
588,1
589,2
590,7
591,1
592,1
593,1
594,7
595,1
596,1
597,1
598,1
599,1
600,4
601,4
602,2
603,2
604,2
605,3
606,3
607,3
608,7
609,3
610,1
611,1
612,1
613,9
614,8
615,8
616,8
617,8
618,8
619,8
620,8
621,2
622,3
623,3
624,3
625,3
626,3
627,5
628,8
629,8
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,6
647,6
648,6
649,6
650,6
651,7
652,7
653,7
654,2
655,2
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,7
664,7
665,7
666,7
667,7
668,3
669,1
670,2
671,2
672,2
673,9
674,8
675,8
676,8
677,8
678,8
679,8
680,8
681,8
