,Area,Chart,Message,Authority,Date,StartDate,EndDate,BroadcastingDate,GeometryType,Coordinates,lon_centroid,lat_centroid
10142,NORTH SEA./SCOTLAND./DNC 20.,35010.,ST. ABBS HEAD LIGHT 55-55.0N 002-08.3W RANGE  TEMPORARILY REDUCED TO 12 MILES.//,WZ,2017-07-05 00:00:00,2018-06-29,2018-06-29,2018-06-29,Point,"[(-2.138334, 55.916667, 0.0)]",-2.138334,55.916667
21984,PHILIPPINE SEA./DNC 12.,NO CHART,"DISTRESS SIGNAL RECEIVED ON 406 MHZ FROM  VESSEL SAGA DISCOVERY IN 28-15-50N 136-44-13E AT 212345Z JUL. VESSELS IN VICINITY REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE.  REPORTS TO JAPAN COAST GUARD, PHONE: 815 2651 4999.//",JAPAN COAST GUARD,2018-07-22 00:00:00,2018-07-24,2018-07-24,2018-07-24,Point,"[(136.736945, 28.263889, 0.0)]",136.736945,28.263889
29556,NORTH SEA./ENGLAND-SOUTHEAST COAST./DNC 20.,37140.,UNEXPLODED ORDNANCE IN 52-07.4N 001-50.4E.//,WZ,2018-07-04 00:00:00,2018-08-10,2018-08-10,2018-08-10,Point,"[(1.84, 52.123334, 0.0)]",1.84,52.123334
34133,WESTERN SOUTH ATLANTIC. /BRAZIL-NORTHEAST COAST. /DNC 01. ,24220.,1. NORTH BANCO INGLES BREAKWATER LIGHT    08-02.7S 034-51.0W UNLIT UNTIL 27 JAN 19. 2. CANCEL THIS MSG 28 JAN 19.//,NAVAREA V COASTAL E,2018-07-31 00:00:00,2018-08-21,2019-01-28,2018-08-21,Point,"[(-34.85, -8.045, 0.0)]",-34.85,-8.045
36157,BAY OF CAMPECHE./MEXICO.,28310.,BOC9 ODAS BUOY ESTABLISHED IN 19-43-57N 096-23-33W.//,MEXICO IV,2018-08-17 00:00:00,2018-08-24,2018-08-24,2018-08-24,Point,"[(-96.3925, 19.7325, 0.0)]",-96.3925,19.7325
38893,TARTAR STRAIT./RUSSIA./SAKHALIN./DNC 24.,NO CHART,"1. CABLE OPERATIONS IN PROGRESS UNTIL 30 AUG    ALONG TRACKLINE JOINGING     49-03-47N 140-18-42E, 49-03-45N 140-18-46E,    49-03-42N 140-18-54E, 49-03-42N 140-19-12E,    49-03-54N 140-21-09E, 49-03-33N 140-26-58E,    49-03-32N 140-30-28E, 49-02-15N 140-51-09E,     49-01-50N 141-50-07E, 49-02-35N 142-01-33E,     49-02-35N 142-01-35E. 2. CANCEL THIS MSG 31 AUG 18.//",NAVAREA XIII,2018-08-04 00:00:00,2018-08-30,2018-08-31,2018-08-30,GeometryCollection,"[(140.311667, 49.063056, 0.0), (140.312778, 49.0625, 0.0), (140.315, 49.061667, 0.0), (140.32, 49.061667, 0.0), (140.3525, 49.065, 0.0), (140.449445, 49.059167, 0.0), (140.507778, 49.058889, 0.0), (140.8525, 49.0375, 0.0), (141.835278, 49.030556, 0.0), (142.025834, 49.043056, 0.0), (142.026389, 49.043056, 0.0), (140.311667, 49.063056, 0.0)]",141.25619050540809,49.04410406239071
19831,"WESTERN NORTH PACIFIC. /YELLOW SEA./CHINA. /DNC 12, DNC 23. ",NO CHART,"DISTRESS SIGNALS RECEIVED ON 406 MHZ AT  180038Z JUL IN: A. 36-50-59N 122-35-20E.  B. 31-25-26N 149-53-27E. VESSELS IN VICINITY REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE.  REPORTS TO JAPAN COAST GUARD, PHONE: 814 5663 4999.//",JAPAN COAST GUARD,2018-07-18 00:00:00,2018-07-19,2018-07-19,2018-07-19,Point,"[(149.890834, 31.423889, 0.0)]",149.890834,31.423889
33129,GOLFO DE CALIFORNIA./MEXICO.,NO CHART,1. HAZARDOUS OPERATIONS 11 THRU 21 AUG    IN AREA BETWEEN 30-50N 31-00N AND 113-42W 113-31W. 2. CANCEL THIS MSG 22 AUG 18.//,MEXICO XII,2018-08-06 00:00:00,2018-08-16,2018-08-22,2018-08-16,GeometryCollection,"[(-113.516667, 30.833334, 0.0), (-113.7, 30.833334, 0.0), (-113.7, 31.0, 0.0), (-113.516667, 31.0, 0.0), (-113.516667, 30.833334, 0.0), (-113.516667, 30.833334, 0.0), (-113.608333, 30.916667, 0.0)]",-113.60144172942972,30.91040180187055
4808,EASTERN CARRIBEAN SEA./GRENADINES./DNC 14.,"25400,",1. DANGEROUS WRECKS IN:    A. 13-00.8N 061-15.0W.    B. 12-31.1N 061-25.1W. 2. UNCHARTED ROCKS REPORTED IN:    A. 12-57.8N 061-14.5W.    B. 12-58.0N 061-07.5W.//,UKHO,2017-01-25 00:00:00,2018-06-19,2018-06-19,2018-06-19,Point,"[(-61.241667, 12.963334, 0.0)]",-61.241667,12.963334
34095,WESTERN SOUTH ATLANTIC. /BRAZIL-EAST COAST. /DNC 01.,NO CHART,"1. SURVEY OPERATIONS 09 MAY THRU 30 SEP BY     M/V RAMFORM TETHYS TOWING 16 8100 METER     LONG CABLES IN AREA BOUND BY     10-52.05S 035-08.36W, 11-10.44S 035-03.60W,    11-53.92S 035-41.84W, 11-30.75S 036-24.94W,    11-16.14S 036-10.35W, 10-52.06S 036-24.99W,    10-51.19S 036-23.93W, 10-49.33S 036-21.66W,    10-45.92S 036-20.23W, 10-44.81S 036-19.11W,    10-43.82S 036-16.61W, 10-41.19S 036-13.31W,    10-38.03S 036-09.29W, 10-36.54S 036-07.32W,    10-32.81S 036-03.71W, 10-29.61S 036-01.53W,    10-28.10S 036-00.46W, 10-26.47S 035-56.29W.    WIDE BERTH REQUESTED. 2. CANCEL THIS MSG 01 OCT 18.//",NAVAREA V COASTAL E,2018-05-08 00:00:00,2018-05-09,2018-10-01,2018-08-21,GeometryCollection,"[(-35.139334, -10.8675, 0.0), (-35.06, -11.174, 0.0), (-35.697334, -11.898666, 0.0), (-36.415667, -11.5125, 0.0), (-36.1725, -11.269, 0.0), (-36.4165, -10.867666, 0.0), (-36.398834, -10.853166, 0.0), (-36.361, -10.822166, 0.0), (-36.337167, -10.765333, 0.0), (-36.3185, -10.746833, 0.0), (-36.276834, -10.730333, 0.0), (-36.221834, -10.6865, 0.0), (-36.154834, -10.633833, 0.0), (-36.122, -10.609, 0.0), (-36.061834, -10.546833, 0.0), (-36.0255, -10.4935, 0.0), (-36.007667, -10.468333, 0.0), (-35.938167, -10.441166, 0.0), (-35.139334, -10.8675, 0.0), (-35.139334, -10.8675, 0.0), (-35.73825, -11.169916, 0.0)]",-35.75251731403149,-11.142759533121462
